site_name,site_id,latitude,longitude,entity_id,entity_name,sample_id,depth_sample,interp_age,d13C_measurement
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295125,553.3,12069,-6.35
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295126,556.6,12051,-6.35
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295127,560,12032,-6.52
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295128,563.3,12013,-7.42
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295129,566.6,11995,-6.69
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295130,570,11976,-6.32
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295131,573.3,11957,-6.35
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295132,576.6,11939,-7.24
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295133,580,11919,-7.14
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295134,583.3,11901,-7.26
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295135,586.6,11882,-7.53
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295136,590,11863,-7.5
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295137,593.3,11845,-7.31
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295138,596.6,11826,-7.62
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295139,600,11807,-7.47
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295140,603.3,11789,-7.37
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295141,606.6,11770,-7.57
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295142,610,11751,-7.39
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295143,613.3,11733,-7.65
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295144,616.6,11714,-8
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295145,620,11695,-8.12
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295146,623.3,11677,-7.58
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295147,626.6,11658,-6.8
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295148,630,11639,-7.01
